node_id,date,consumption_kwh,day_of_week,day_of_year
house_1,2026-01-01,15.38,3,1
house_1,2026-01-02,13.4,4,2
house_1,2026-01-03,13.11,5,3
house_1,2026-01-04,14.4,6,4
house_1,2026-01-05,15.05,0,5
house_1,2026-01-06,16.89,1,6
house_1,2026-01-07,18.72,2,7
house_1,2026-01-08,17.07,3,8
house_1,2026-01-09,14.38,4,9
house_1,2026-01-10,13.9,5,10
house_1,2026-01-11,13.49,6,11
house_1,2026-01-12,14.99,0,12
house_1,2026-01-13,16.94,1,13
house_1,2026-01-14,15.58,2,14
house_1,2026-01-15,14.3,3,15
house_1,2026-01-16,13.01,4,16
house_1,2026-01-17,11.27,5,17
house_1,2026-01-18,12.34,6,18
house_1,2026-01-19,12.89,0,19
house_1,2026-01-20,13.99,1,20
house_1,2026-01-21,16.27,2,21
house_1,2026-01-22,13.82,3,22
house_1,2026-01-23,12.15,4,23
house_1,2026-01-24,9.96,5,24
house_1,2026-01-25,11.07,6,25
house_1,2026-01-26,13.32,0,26
house_1,2026-01-27,14.27,1,27
house_1,2026-01-28,15.99,2,28
house_1,2026-01-29,14.43,3,29
house_1,2026-01-30,13.1,4,30
house_1,2026-01-31,12.05,5,31
house_1,2026-02-01,14.49,6,32
house_1,2026-02-02,15.13,0,33
house_1,2026-02-03,16.31,1,34
house_1,2026-02-04,18.28,2,35
house_1,2026-02-05,15.88,3,36
house_1,2026-02-06,15.19,4,37
house_1,2026-02-07,12.59,5,38
house_1,2026-02-08,13.46,6,39
house_1,2026-02-09,16.14,0,40
house_1,2026-02-10,18.07,1,41
house_1,2026-02-11,17.92,2,42
house_1,2026-02-12,16.37,3,43
house_1,2026-02-13,14.16,4,44
house_1,2026-02-14,11.92,5,45
house_1,2026-02-15,12.58,6,46
house_1,2026-02-16,14.14,0,47
house_1,2026-02-17,16.6,1,48
house_1,2026-02-18,16.26,2,49
house_1,2026-02-19,13.43,3,50
house_1,2026-02-20,12.9,4,51
house_1,2026-02-21,11.15,5,52
house_1,2026-02-22,11.31,6,53
house_1,2026-02-23,13.89,0,54
house_1,2026-02-24,15.91,1,55
house_1,2026-02-25,16.39,2,56
house_1,2026-02-26,14.18,3,57
house_1,2026-02-27,12.95,4,58
house_1,2026-02-28,12.53,5,59
house_1,2026-03-01,13.68,6,60
house_1,2026-03-02,14.62,0,61
house_1,2026-03-03,16.79,1,62
house_1,2026-03-04,16.84,2,63
house_1,2026-03-05,15.9,3,64
house_1,2026-03-06,15.72,4,65
house_1,2026-03-07,15.14,5,66
house_1,2026-03-08,14.68,6,67
house_1,2026-03-09,17.17,0,68
house_1,2026-03-10,18.38,1,69
house_1,2026-03-11,18.04,2,70
house_1,2026-03-12,17.49,3,71
house_1,2026-03-13,16.33,4,72
house_1,2026-03-14,13.87,5,73
house_1,2026-03-15,15.16,6,74
